时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2023-10-20 19:29:14:357	WT901BLE67(D57986C0DE95)	0.014	0.027	1.012	0.000	0.549	-0.549	0.38	-0.08	-0.56	-91.342	57.625	8.067	0.99985	0.01212	-0.00540	-0.00427	28.2	10080.1.3	100
2023-10-20 19:29:14:387	WT901BLE67(D57986C0DE95)	0.003	0.010	0.995	-0.610	0.183	-0.427	0.38	-0.04	-0.61	-91.342	57.625	8.067	0.99985	0.01212	-0.00540	-0.00427	28.2	10080.1.3	100
2023-10-20 19:29:14:446	WT901BLE67(D57986C0DE95)	0.010	0.023	1.009	0.793	-1.038	0.061	0.39	-0.07	-0.60	-91.342	57.625	8.067	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:477	WT901BLE67(D57986C0DE95)	0.020	0.042	1.008	-1.404	0.732	0.000	0.41	-0.07	-0.59	-91.342	57.625	8.067	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:504	WT901BLE67(D57986C0DE95)	0.003	0.021	1.001	0.122	-0.122	-0.244	0.36	-0.06	-0.61	-91.458	57.692	8.108	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:565	WT901BLE67(D57986C0DE95)	0.011	0.031	1.002	1.587	0.427	0.427	0.40	-0.05	-0.62	-91.458	57.692	8.108	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:594	WT901BLE67(D57986C0DE95)	0.008	0.026	1.007	0.793	0.000	-0.854	0.44	-0.04	-0.61	-91.458	57.692	8.108	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:627	WT901BLE67(D57986C0DE95)	0.020	0.020	1.011	0.610	0.366	0.183	0.47	-0.03	-0.64	-91.458	57.692	8.108	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:685	WT901BLE67(D57986C0DE95)	0.002	0.022	1.004	-0.244	0.732	-1.770	0.48	-0.01	-0.65	-91.458	57.692	8.108	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:717	WT901BLE67(D57986C0DE95)	0.009	0.016	1.010	1.404	-0.732	0.732	0.50	0.00	-0.70	-91.658	57.875	7.992	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:806	WT901BLE67(D57986C0DE95)	0.008	0.035	1.010	0.122	0.305	-0.671	0.55	-0.01	-0.66	-91.658	57.875	7.992	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:807	WT901BLE67(D57986C0DE95)	0.020	0.023	1.013	-1.038	0.793	-0.854	0.52	0.01	-0.72	-91.658	57.875	7.992	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:838	WT901BLE67(D57986C0DE95)	0.008	0.038	0.993	0.000	-0.305	-0.305	0.49	0.02	-0.73	-91.658	57.875	7.992	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:895	WT901BLE67(D57986C0DE95)	0.011	0.023	1.012	-0.183	-0.122	-0.488	0.49	0.00	-0.75	-91.658	57.875	7.992	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:927	WT901BLE67(D57986C0DE95)	0.010	0.030	1.007	0.854	1.038	0.305	0.50	0.02	-0.75	-91.542	57.642	8.133	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:955	WT901BLE67(D57986C0DE95)	0.009	0.028	1.011	0.061	-1.038	-1.099	0.53	0.02	-0.77	-91.542	57.642	8.133	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:15:16	WT901BLE67(D57986C0DE95)	0.018	0.025	1.011	0.000	0.305	-0.488	0.53	0.00	-0.80	-91.542	57.642	8.133	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:44	WT901BLE67(D57986C0DE95)	0.005	0.031	1.001	0.610	-1.953	-0.244	0.54	-0.02	-0.81	-91.542	57.642	8.133	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:75	WT901BLE67(D57986C0DE95)	0.018	0.031	1.015	-0.793	0.916	-0.610	0.54	-0.06	-0.83	-91.542	57.642	8.133	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:137	WT901BLE67(D57986C0DE95)	0.007	0.026	1.001	0.427	-1.526	-0.305	0.52	-0.05	-0.87	-91.525	57.675	8.192	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:167	WT901BLE67(D57986C0DE95)	0.019	0.027	1.015	-0.549	0.122	-0.183	0.53	-0.11	-0.87	-91.525	57.675	8.192	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:197	WT901BLE67(D57986C0DE95)	0.003	0.042	1.009	-0.854	0.244	-0.549	0.49	-0.08	-0.89	-91.525	57.675	8.192	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:255	WT901BLE67(D57986C0DE95)	0.011	0.013	1.008	0.732	-0.549	1.099	0.51	-0.11	-0.90	-91.525	57.675	8.192	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:284	WT901BLE67(D57986C0DE95)	0.004	0.020	1.010	0.427	-0.427	0.305	0.55	-0.13	-0.86	-91.525	57.675	8.192	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:348	WT901BLE67(D57986C0DE95)	0.025	0.033	1.011	-1.953	0.366	-1.160	0.55	-0.14	-0.86	-91.442	57.675	8.142	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:376	WT901BLE67(D57986C0DE95)	-0.003	0.027	0.994	0.488	-0.488	0.366	0.50	-0.12	-0.88	-91.442	57.675	8.142	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:406	WT901BLE67(D57986C0DE95)	0.013	0.034	1.013	0.244	-1.953	-0.366	0.54	-0.18	-0.88	-91.442	57.675	8.142	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:436	WT901BLE67(D57986C0DE95)	0.008	0.024	1.009	-0.977	1.221	-0.549	0.53	-0.19	-0.90	-91.442	57.675	8.142	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:495	WT901BLE67(D57986C0DE95)	0.015	0.025	1.006	0.305	-1.465	-0.427	0.52	-0.19	-0.92	-91.442	57.675	8.142	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:525	WT901BLE67(D57986C0DE95)	0.003	0.030	1.000	-0.671	0.610	0.610	0.52	-0.20	-0.90	-91.583	57.550	8.092	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:555	WT901BLE67(D57986C0DE95)	0.012	0.022	1.016	0.427	-1.282	0.000	0.50	-0.21	-0.91	-91.583	57.550	8.092	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:615	WT901BLE67(D57986C0DE95)	0.019	0.033	1.005	-0.122	0.366	0.610	0.53	-0.22	-0.90	-91.583	57.550	8.092	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:647	WT901BLE67(D57986C0DE95)	0.003	0.025	0.998	-1.526	-0.183	-0.244	0.49	-0.20	-0.89	-91.583	57.550	8.092	0.99982	0.01352	-0.00677	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:705	WT901BLE67(D57986C0DE95)	0.014	0.025	1.007	0.427	0.000	0.244	0.47	-0.22	-0.91	-91.583	57.550	8.092	0.99982	0.01352	-0.00677	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:737	WT901BLE67(D57986C0DE95)	0.004	0.030	1.000	0.610	-0.305	0.977	0.49	-0.21	-0.87	-91.250	57.608	8.308	0.99982	0.01352	-0.00677	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:767	WT901BLE67(D57986C0DE95)	0.015	0.027	1.013	-0.916	-0.061	-1.465	0.50	-0.23	-0.87	-91.250	57.608	8.308	0.99982	0.01352	-0.00677	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:797	WT901BLE67(D57986C0DE95)	0.010	0.027	1.005	-0.549	0.183	0.000	0.44	-0.21	-0.91	-91.250	57.608	8.308	0.99982	0.01352	-0.00677	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:857	WT901BLE67(D57986C0DE95)	0.007	0.029	1.002	1.160	-0.427	0.793	0.47	-0.21	-0.89	-91.250	57.608	8.308	0.99982	0.01291	-0.00677	-0.00781	28.2	10080.1.3	100
2023-10-20 19:29:15:887	WT901BLE67(D57986C0DE95)	0.016	0.030	1.005	-1.831	-0.122	-1.587	0.47	-0.21	-0.88	-91.250	57.608	8.308	0.99982	0.01291	-0.00677	-0.00781	28.2	10080.1.3	100
2023-10-20 19:29:15:917	WT901BLE67(D57986C0DE95)	0.010	0.021	1.004	0.854	0.549	1.099	0.42	-0.21	-0.92	-91.250	57.608	8.308	0.99982	0.01291	-0.00677	-0.00781	28.2	10080.1.3	100
2023-10-20 19:29:15:976	WT901BLE67(D57986C0DE95)	0.004	0.027	1.000	1.770	-0.366	1.038	0.47	-0.20	-0.87	-91.292	57.550	8.083	0.99982	0.01291	-0.00677	-0.00781	28.2	10080.1.3	100
2023-10-20 19:29:16:4	WT901BLE67(D57986C0DE95)	0.014	0.026	1.007	-0.427	0.549	-0.488	0.51	-0.21	-0.85	-91.292	57.550	8.083	0.99982	0.01291	-0.00677	-0.00781	28.2	10080.1.3	100
2023-10-20 19:29:16:36	WT901BLE67(D57986C0DE95)	0.006	0.023	1.006	0.000	-1.099	0.061	0.49	-0.20	-0.86	-91.292	57.550	8.083	0.99982	0.01340	-0.00671	-0.00732	28.2	10080.1.3	100
2023-10-20 19:29:16:96	WT901BLE67(D57986C0DE95)	0.013	0.034	1.000	0.916	0.549	-0.732	0.53	-0.23	-0.86	-91.292	57.550	8.083	0.99982	0.01340	-0.00671	-0.00732	28.2	10080.1.3	100
2023-10-20 19:29:16:125	WT901BLE67(D57986C0DE95)	0.017	0.032	1.007	-0.488	0.244	-0.671	0.51	-0.19	-0.89	-91.292	57.550	8.083	0.99982	0.01340	-0.00671	-0.00732	28.2	10080.1.3	100
2023-10-20 19:29:16:186	WT901BLE67(D57986C0DE95)	0.004	0.037	1.009	1.465	-0.549	1.587	0.54	-0.18	-0.89	-91.283	57.633	8.117	0.99982	0.01340	-0.00671	-0.00732	28.2	10080.1.3	100
2023-10-20 19:29:16:215	WT901BLE67(D57986C0DE95)	0.015	0.029	1.002	-0.793	-0.305	-0.061	0.55	-0.20	-0.87	-91.283	57.633	8.117	0.99982	0.01340	-0.00671	-0.00732	28.2	10080.1.3	100
2023-10-20 19:29:16:246	WT901BLE67(D57986C0DE95)	0.004	0.024	1.000	-0.610	-0.427	-0.610	0.51	-0.21	-0.90	-91.283	57.633	8.117	0.99982	0.01370	-0.00668	-0.00751	28.2	10080.1.3	100
2023-10-20 19:29:16:306	WT901BLE67(D57986C0DE95)	0.008	0.025	1.010	1.953	0.000	1.953	0.53	-0.21	-0.87	-91.283	57.633	8.117	0.99982	0.01370	-0.00668	-0.00751	28.2	10080.1.3	100
2023-10-20 19:29:16:336	WT901BLE67(D57986C0DE95)	0.008	0.027	1.004	-0.183	-0.427	-1.038	0.59	-0.21	-0.85	-91.283	57.633	8.117	0.99982	0.01370	-0.00668	-0.00751	28.2	10080.1.3	100
2023-10-20 19:29:16:371	WT901BLE67(D57986C0DE95)	0.015	0.015	1.008	-0.610	-0.183	-1.160	0.55	-0.23	-0.90	-91.233	57.783	8.017	0.99982	0.01370	-0.00668	-0.00751	28.2	10080.1.3	100
2023-10-20 19:29:16:426	WT901BLE67(D57986C0DE95)	0.002	0.022	0.999	0.488	-0.549	1.709	0.55	-0.23	-0.88	-91.233	57.783	8.017	0.99982	0.01370	-0.00668	-0.00751	28.2	10080.1.3	100
2023-10-20 19:29:16:457	WT901BLE67(D57986C0DE95)	0.005	0.030	1.014	0.549	-0.610	0.061	0.57	-0.25	-0.84	-91.233	57.783	8.017	0.99982	0.01379	-0.00696	-0.00742	28.2	10080.1.3	100
2023-10-20 19:29:16:487	WT901BLE67(D57986C0DE95)	0.006	0.023	1.003	-2.075	0.671	-0.793	0.53	-0.24	-0.86	-91.233	57.783	8.017	0.99982	0.01379	-0.00696	-0.00742	28.2	10080.1.3	100
2023-10-20 19:29:16:545	WT901BLE67(D57986C0DE95)	0.016	0.022	0.998	0.427	-0.305	0.122	0.48	-0.21	-0.86	-91.192	57.767	8.292	0.99982	0.01379	-0.00696	-0.00742	28.2	10080.1.3	100
2023-10-20 19:29:16:577	WT901BLE67(D57986C0DE95)	0.002	0.031	1.001	-0.366	-0.183	0.854	0.49	-0.23	-0.83	-91.192	57.767	8.292	0.99982	0.01379	-0.00696	-0.00742	28.2	10080.1.3	100
2023-10-20 19:29:16:607	WT901BLE67(D57986C0DE95)	0.009	0.019	1.010	0.549	-0.977	-0.610	0.49	-0.24	-0.83	-91.192	57.767	8.292	0.99982	0.01379	-0.00696	-0.00742	28.2	10080.1.3	100
2023-10-20 19:29:16:667	WT901BLE67(D57986C0DE95)	0.008	0.028	1.003	0.366	-0.549	0.916	0.51	-0.26	-0.83	-91.192	57.767	8.292	0.99982	0.01331	-0.00711	-0.00726	28.2	10080.1.3	100
2023-10-20 19:29:16:697	WT901BLE67(D57986C0DE95)	0.001	0.020	1.007	-0.122	0.000	-1.282	0.51	-0.26	-0.83	-91.192	57.767	8.292	0.99982	0.01331	-0.00711	-0.00726	28.2	10080.1.3	100
2023-10-20 19:29:16:727	WT901BLE67(D57986C0DE95)	0.018	0.026	1.005	-0.366	0.366	-0.488	0.50	-0.25	-0.87	-91.192	57.767	8.292	0.99982	0.01331	-0.00711	-0.00726	28.2	10080.1.3	100
2023-10-20 19:29:16:785	WT901BLE67(D57986C0DE95)	0.002	0.024	1.002	-0.488	0.244	-1.282	0.47	-0.22	-0.90	-91.258	57.825	8.308	0.99982	0.01331	-0.00711	-0.00726	28.2	10080.1.3	100
2023-10-20 19:29:16:815	WT901BLE67(D57986C0DE95)	0.015	0.024	1.005	0.000	-0.488	0.244	0.47	-0.21	-0.93	-91.258	57.825	8.308	0.99982	0.01331	-0.00711	-0.00726	28.2	10080.1.3	100
2023-10-20 19:29:16:844	WT901BLE67(D57986C0DE95)	0.008	0.024	1.002	-1.038	0.000	-0.793	0.45	-0.22	-0.93	-91.258	57.825	8.308	0.99982	0.01331	-0.00711	-0.00726	28.2	10080.1.3	100
2023-10-20 19:29:16:906	WT901BLE67(D57986C0DE95)	0.011	0.025	1.003	0.305	-0.488	-0.549	0.42	-0.22	-0.97	-91.258	57.825	8.308	0.99982	0.01297	-0.00677	-0.00806	28.2	10080.1.3	100
2023-10-20 19:29:16:936	WT901BLE67(D57986C0DE95)	0.007	0.030	1.004	0.244	-0.122	0.305	0.44	-0.23	-0.95	-91.258	57.825	8.308	0.99982	0.01297	-0.00677	-0.00806	28.2	10080.1.3	100
2023-10-20 19:29:16:968	WT901BLE67(D57986C0DE95)	0.000	0.026	1.006	0.488	-0.061	-0.854	0.44	-0.22	-0.97	-91.150	57.767	8.300	0.99982	0.01297	-0.00677	-0.00806	28.2	10080.1.3	100
2023-10-20 19:29:17:26	WT901BLE67(D57986C0DE95)	0.013	0.004	1.004	-1.526	-0.427	-0.916	0.46	-0.22	-1.02	-91.150	57.767	8.300	0.99982	0.01297	-0.00677	-0.00806	28.2	10080.1.3	100
2023-10-20 19:29:17:55	WT901BLE67(D57986C0DE95)	0.010	0.021	1.001	0.305	1.526	-0.916	0.45	-0.19	-1.05	-91.150	57.767	8.300	0.99982	0.01297	-0.00677	-0.00806	28.2	10080.1.3	100
2023-10-20 19:29:17:87	WT901BLE67(D57986C0DE95)	0.022	0.032	1.009	-2.441	-0.793	-0.549	0.42	-0.17	-1.05	-91.150	57.767	8.300	0.99982	0.01279	-0.00684	-0.00891	28.2	10080.1.3	100
2023-10-20 19:29:17:146	WT901BLE67(D57986C0DE95)	-0.005	0.026	0.991	1.099	-0.061	0.000	0.38	-0.18	-1.07	-91.150	57.767	8.300	0.99982	0.01279	-0.00684	-0.00891	28.2	10080.1.3	100
2023-10-20 19:29:17:177	WT901BLE67(D57986C0DE95)	0.017	0.029	1.009	0.366	-0.183	0.061	0.43	-0.19	-1.07	-91.325	57.758	8.358	0.99982	0.01279	-0.00684	-0.00891	28.2	10080.1.3	100
2023-10-20 19:29:17:207	WT901BLE67(D57986C0DE95)	0.011	0.028	1.003	0.427	0.854	0.061	0.44	-0.15	-1.05	-91.325	57.758	8.358	0.99982	0.01279	-0.00684	-0.00891	28.2	10080.1.3	100
2023-10-20 19:29:17:265	WT901BLE67(D57986C0DE95)	0.006	0.022	1.009	-0.061	0.000	-0.671	0.46	-0.15	-1.07	-91.325	57.758	8.358	0.99982	0.01285	-0.00623	-0.00912	28.2	10080.1.3	100
2023-10-20 19:29:17:297	WT901BLE67(D57986C0DE95)	0.008	0.020	1.002	-0.488	0.305	-0.122	0.44	-0.14	-1.09	-91.325	57.758	8.358	0.99982	0.01285	-0.00623	-0.00912	28.2	10080.1.3	100
2023-10-20 19:29:17:327	WT901BLE67(D57986C0DE95)	0.009	0.023	1.010	0.061	0.183	0.122	0.42	-0.13	-1.09	-91.325	57.758	8.358	0.99982	0.01285	-0.00623	-0.00912	28.2	10080.1.3	100
2023-10-20 19:29:17:387	WT901BLE67(D57986C0DE95)	0.009	0.030	1.006	1.587	0.183	1.526	0.47	-0.12	-1.07	-91.300	57.758	8.358	0.99982	0.01285	-0.00623	-0.00912	28.2	10080.1.3	100
2023-10-20 19:29:17:415	WT901BLE67(D57986C0DE95)	0.013	0.027	1.004	-2.441	-0.488	-1.221	0.46	-0.14	-1.05	-91.300	57.758	8.358	0.99982	0.01285	-0.00623	-0.00912	28.2	10080.1.3	100
2023-10-20 19:29:17:447	WT901BLE67(D57986C0DE95)	0.011	0.021	0.998	-0.244	0.122	-0.061	0.38	-0.14	-1.11	-91.300	57.758	8.358	0.99982	0.01285	-0.00623	-0.00912	28.2	10080.1.3	100
2023-10-20 19:29:17:506	WT901BLE67(D57986C0DE95)	0.004	0.032	1.001	0.488	-0.732	0.793	0.40	-0.14	-1.08	-91.300	57.758	8.358	0.99982	0.01230	-0.00613	-0.00961	28.2	10080.1.3	100
2023-10-20 19:29:17:537	WT901BLE67(D57986C0DE95)	0.015	0.025	1.011	-0.427	0.305	-1.221	0.40	-0.16	-1.10	-91.300	57.758	8.358	0.99982	0.01230	-0.00613	-0.00961	28.2	10080.1.3	100
2023-10-20 19:29:17:598	WT901BLE67(D57986C0DE95)	0.001	0.024	1.000	0.610	0.977	1.404	0.40	-0.10	-1.09	-91.325	57.675	8.233	0.99982	0.01230	-0.00613	-0.00961	28.2	10080.1.3	100
2023-10-20 19:29:17:656	WT901BLE67(D57986C0DE95)	0.011	0.024	1.012	-0.061	1.099	-1.404	0.41	-0.09	-1.10	-91.325	57.675	8.233	0.99982	0.01230	-0.00613	-0.00961	28.2	10080.1.3	100
2023-10-20 19:29:17:657	WT901BLE67(D57986C0DE95)	0.004	0.029	1.004	-0.549	1.282	-0.610	0.40	-0.01	-1.13	-91.325	57.675	8.233	0.99982	0.01230	-0.00613	-0.00961	28.2	10080.1.3	100
2023-10-20 19:29:17:716	WT901BLE67(D57986C0DE95)	0.020	0.018	1.010	0.366	-0.488	0.122	0.38	-0.01	-1.17	-91.325	57.675	8.233	0.99982	0.01245	-0.00510	-0.00980	28.2	10080.1.3	100
2023-10-20 19:29:17:745	WT901BLE67(D57986C0DE95)	0.001	0.033	1.002	-0.549	0.305	0.427	0.40	0.00	-1.14	-91.325	57.675	8.233	0.99982	0.01245	-0.00510	-0.00980	28.2	10080.1.3	100
2023-10-20 19:29:17:775	WT901BLE67(D57986C0DE95)	0.012	0.024	1.012	-1.038	-2.441	-1.404	0.35	-0.05	-1.20	-91.325	57.675	8.233	0.99982	0.01245	-0.00510	-0.00980	28.2	10080.1.3	100
2023-10-20 19:29:17:835	WT901BLE67(D57986C0DE95)	0.010	0.028	0.994	0.488	-0.427	0.427	0.35	-0.09	-1.19	-91.275	57.808	8.183	0.99982	0.01245	-0.00510	-0.00980	28.2	10080.1.3	100
2023-10-20 19:29:17:864	WT901BLE67(D57986C0DE95)	0.011	0.028	1.008	0.427	-0.732	-0.916	0.36	-0.12	-1.21	-91.275	57.808	8.183	0.99982	0.01245	-0.00510	-0.00980	28.2	10080.1.3	100
2023-10-20 19:29:17:897	WT901BLE67(D57986C0DE95)	0.008	0.012	1.001	-0.793	0.000	0.366	0.40	-0.13	-1.24	-91.275	57.808	8.183	0.99982	0.01212	-0.00598	-0.01056	28.2	10080.1.3	100
2023-10-20 19:29:17:956	WT901BLE67(D57986C0DE95)	0.002	0.025	1.006	-0.305	0.122	-0.305	0.38	-0.12	-1.21	-91.275	57.808	8.183	0.99982	0.01212	-0.00598	-0.01056	28.2	10080.1.3	100
2023-10-20 19:29:17:986	WT901BLE67(D57986C0DE95)	0.020	0.027	1.008	-0.244	-0.366	0.183	0.38	-0.14	-1.22	-91.275	57.658	8.225	0.99982	0.01212	-0.00598	-0.01056	28.2	10080.1.3	100
2023-10-20 19:29:18:14	WT901BLE67(D57986C0DE95)	0.003	0.031	0.997	1.343	0.916	0.061	0.41	-0.12	-1.20	-91.275	57.658	8.225	0.99982	0.01212	-0.00598	-0.01056	28.2	10080.1.3	100
2023-10-20 19:29:18:76	WT901BLE67(D57986C0DE95)	0.012	0.024	1.009	-0.305	-0.366	-0.305	0.42	-0.11	-1.24	-91.275	57.658	8.225	0.99982	0.01212	-0.00598	-0.01056	28.2	10080.1.3	100
2023-10-20 19:29:18:108	WT901BLE67(D57986C0DE95)	0.004	0.021	1.006	2.075	-0.244	0.916	0.45	-0.11	-1.21	-91.275	57.658	8.225	0.99979	0.01257	-0.00589	-0.01068	28.2	10080.1.3	100
2023-10-20 19:29:18:136	WT901BLE67(D57986C0DE95)	0.010	0.027	1.010	0.122	0.488	-0.793	0.52	-0.10	-1.21	-91.275	57.658	8.225	0.99979	0.01257	-0.00589	-0.01068	28.2	10080.1.3	100
2023-10-20 19:29:18:197	WT901BLE67(D57986C0DE95)	0.010	0.017	1.006	-0.244	-0.793	-0.427	0.48	-0.10	-1.23	-91.142	57.833	8.200	0.99979	0.01257	-0.00589	-0.01068	28.2	10080.1.3	100
2023-10-20 19:29:18:225	WT901BLE67(D57986C0DE95)	0.000	0.024	1.004	0.854	0.427	1.099	0.51	-0.10	-1.22	-91.142	57.833	8.200	0.99979	0.01257	-0.00589	-0.01068	28.2	10080.1.3	100
2023-10-20 19:29:18:255	WT901BLE67(D57986C0DE95)	0.014	0.030	1.012	-1.343	-0.366	-1.160	0.50	-0.10	-1.22	-91.142	57.833	8.200	0.99979	0.01257	-0.00589	-0.01068	28.2	10080.1.3	100
2023-10-20 19:29:18:317	WT901BLE67(D57986C0DE95)	0.007	0.020	1.000	-0.488	0.671	0.732	0.44	-0.09	-1.26	-91.142	57.833	8.200	0.99979	0.01294	-0.00583	-0.01093	28.2	10080.1.3	100
2023-10-20 19:29:18:347	WT901BLE67(D57986C0DE95)	0.008	0.032	0.998	0.000	-0.793	-0.488	0.45	-0.09	-1.24	-91.142	57.833	8.200	0.99979	0.01294	-0.00583	-0.01093	28.2	10080.1.3	100
2023-10-20 19:29:18:377	WT901BLE67(D57986C0DE95)	0.008	0.018	1.011	-0.244	0.427	-0.061	0.42	-0.09	-1.26	-91.142	57.833	8.200	0.99979	0.01294	-0.00583	-0.01093	28.2	10080.1.3	100
2023-10-20 19:29:18:435	WT901BLE67(D57986C0DE95)	0.001	0.030	1.004	1.099	-0.671	0.854	0.44	-0.09	-1.22	-91.283	57.833	8.200	0.99979	0.01294	-0.00583	-0.01093	28.2	10080.1.3	100
2023-10-20 19:29:18:464	WT901BLE67(D57986C0DE95)	0.017	0.022	1.015	-0.610	0.549	-1.526	0.45	-0.09	-1.25	-91.283	57.833	8.200	0.99979	0.01294	-0.00583	-0.01093	28.2	10080.1.3	100
2023-10-20 19:29:18:495	WT901BLE67(D57986C0DE95)	0.009	0.024	1.000	0.427	-0.427	0.244	0.44	-0.07	-1.28	-91.283	57.833	8.200	0.99979	0.01294	-0.00583	-0.01093	28.2	10080.1.3	100
2023-10-20 19:29:18:555	WT901BLE67(D57986C0DE95)	0.006	0.027	1.006	0.000	0.183	0.061	0.46	-0.09	-1.27	-91.283	57.833	8.200	0.99979	0.01285	-0.00577	-0.01086	28.2	10080.1.3	100
2023-10-20 19:29:18:586	WT901BLE67(D57986C0DE95)	0.009	0.023	1.007	-1.038	0.549	-1.648	0.42	-0.07	-1.31	-91.283	57.833	8.200	0.99979	0.01285	-0.00577	-0.01086	28.2	10080.1.3	100
2023-10-20 19:29:18:617	WT901BLE67(D57986C0DE95)	0.011	0.027	0.994	0.000	0.977	0.977	0.41	-0.03	-1.32	-91.433	57.758	8.242	0.99979	0.01285	-0.00577	-0.01086	28.2	10080.1.3	100
2023-10-20 19:29:18:676	WT901BLE67(D57986C0DE95)	0.014	0.029	1.014	0.122	-0.671	-0.488	0.42	-0.04	-1.32	-91.433	57.758	8.242	0.99979	0.01285	-0.00577	-0.01086	28.2	10080.1.3	100
2023-10-20 19:29:18:704	WT901BLE67(D57986C0DE95)	0.002	0.026	0.997	-0.183	0.305	0.549	0.41	-0.04	-1.31	-91.433	57.758	8.242	0.99979	0.01260	-0.00534	-0.01147	28.2	10080.1.3	100
2023-10-20 19:29:18:737	WT901BLE67(D57986C0DE95)	0.009	0.030	1.018	1.465	0.061	-0.305	0.44	-0.03	-1.31	-91.433	57.758	8.242	0.99979	0.01260	-0.00534	-0.01147	28.2	10080.1.3	100
2023-10-20 19:29:18:795	WT901BLE67(D57986C0DE95)	0.009	0.010	1.002	-1.221	-0.244	0.427	0.47	-0.03	-1.31	-91.433	57.758	8.242	0.99979	0.01260	-0.00534	-0.01147	28.2	10080.1.3	100
2023-10-20 19:29:18:827	WT901BLE67(D57986C0DE95)	0.014	0.016	1.016	0.244	-0.122	-0.366	0.47	-0.04	-1.31	-91.267	57.833	8.108	0.99979	0.01260	-0.00534	-0.01147	28.2	10080.1.3	100
2023-10-20 19:29:18:856	WT901BLE67(D57986C0DE95)	0.011	0.033	1.004	-1.953	-0.244	-0.488	0.44	-0.05	-1.32	-91.267	57.833	8.108	0.99979	0.01260	-0.00534	-0.01147	28.2	10080.1.3	100
2023-10-20 19:29:18:916	WT901BLE67(D57986C0DE95)	0.010	0.020	1.000	-0.061	0.122	-1.038	0.38	-0.05	-1.35	-91.267	57.833	8.108	0.99979	0.01242	-0.00543	-0.01157	28.2	10080.1.3	100
